Draw date,Last Day To Claim,Winning Numbers,Exact Order Prize ($0.50 bet),Exact Order CO Winners ($0.50 bet),Exact Order Prize ($1 bet),Exact Order CO Winners ($1 bet),Exact Order Prize ($2 bet),Exact Order CO Winners ($2 bet),Exact Order Prize ($5 bet),Exact Order CO Winners ($5 bet),Any Order Prize ($0.50 bet),Any Order CO Winners ($0.50 bet),Any Order Prize ($1 bet),Any Order CO Winners ($1 bet),Any Order Prize ($2 bet),Any Order CO Winners ($2 bet),Any Order Prize ($5 bet),Any Order CO Winners ($5 bet),Front Pair Prize ($0.50 bet),Front Pair CO Winners ($0.50 bet),Front Pair Prize ($1 bet),Front Pair CO Winners ($1 bet),Front Pair Prize ($2 bet),Front Pair CO Winners ($2 bet),Front Pair Prize ($5 bet),Front Pair CO Winners ($5 bet),Back Pair Prize ($0.50 bet),Back Pair CO Winners ($0.50 bet),Back Pair Prize ($1 bet),Back Pair CO Winners ($1 bet),Back Pair Prize ($2 bet),Back Pair CO Winners ($2 bet),Back Pair Prize ($5 bet),Back Pair CO Winners ($5 bet),Exact Order Prize (exact+any $1 bet),Exact Order CO Winners (exact+any $1 bet),Exact Order Prize (exact+any $2 bet),Exact Order CO Winners (exact+any $2 bet),Exact Order Prize (exact+any $5 bet),Exact Order CO Winners (exact+any $5 bet),Any Order Prize (exact+any $1 bet),Any Order CO Winners (exact+any $1 bet),Any Order Prize (exact+any $2 bet),Any Order CO Winners (exact+any $2 bet),Any Order Prize (exact+any $5 bet),Any Order CO Winners (exact+any $5 bet)
"Feb. 24, 2020: Midday",08/22/2020,5 - 9 - 3,$250,3,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,8,$160,1,$400,7,$30,0,$60,0,$120,1,$300,0,$30,0,$60,0,$120,1,$300,0,$290,2,$580,0,"$1,450",0,$40,20,$80,2,$200,2
"Feb. 24, 2020: Evening",08/22/2020,3 - 3 - 2,$250,0,$500,0,"$1,000",0,"$2,500",1,$80,11,$160,2,$320,0,$800,0,$30,2,$60,1,$120,3,$300,1,$30,1,$60,1,$120,1,$300,0,$330,2,$660,1,"$1,650",0,$80,13,$160,4,$400,0
"Feb. 23, 2020: Midday",08/21/2020,1 - 5 - 9,$250,0,$500,4,"$1,000",0,"$2,500",0,$40,13,$80,7,$160,1,$400,1,$30,2,$60,1,$120,1,$300,0,$30,0,$60,0,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,24,$80,3,$200,2
"Feb. 23, 2020: Evening",08/21/2020,8 - 6 - 1,$250,1,$500,0,"$1,000",1,"$2,500",1,$40,5,$80,7,$160,1,$400,0,$30,0,$60,0,$120,0,$300,2,$30,2,$60,0,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,21,$80,1,$200,0
"Feb. 22, 2020: Midday",08/20/2020,2 - 6 - 6,$250,1,$500,2,"$1,000",2,"$2,500",0,$80,4,$160,5,$320,4,$800,0,$30,3,$60,1,$120,0,$300,0,$30,2,$60,2,$120,3,$300,0,$330,1,$660,0,"$1,650",0,$80,9,$160,1,$400,0
"Feb. 22, 2020: Evening",08/20/2020,1 - 6 - 4,$250,3,$500,6,"$1,000",0,"$2,500",0,$40,22,$80,21,$160,1,$400,7,$30,2,$60,2,$120,3,$300,0,$30,2,$60,0,$120,1,$300,1,$290,0,$580,0,"$1,450",1,$40,41,$80,7,$200,2
"Feb. 21, 2020: Evening",08/19/2020,9 - 8 - 2,$250,3,$500,1,"$1,000",1,"$2,500",1,$40,8,$80,6,$160,2,$400,0,$30,0,$60,0,$120,1,$300,0,$30,0,$60,2,$120,0,$300,0,$290,6,$580,0,"$1,450",1,$40,32,$80,3,$200,1
"Feb. 21, 2020: Midday",08/19/2020,4 - 3 - 7,$250,0,$500,6,"$1,000",0,"$2,500",0,$40,9,$80,10,$160,1,$400,0,$30,2,$60,0,$120,1,$300,1,$30,4,$60,0,$120,2,$300,0,$290,1,$580,1,"$1,450",1,$40,24,$80,8,$200,1
"Feb. 20, 2020: Evening",08/18/2020,5 - 8 - 6,$250,3,$500,1,"$1,000",0,"$2,500",0,$40,11,$80,7,$160,2,$400,1,$30,0,$60,3,$120,1,$300,0,$30,3,$60,0,$120,1,$300,0,$290,3,$580,1,"$1,450",0,$40,14,$80,5,$200,0
"Feb. 20, 2020: Midday",08/18/2020,6 - 4 - 9,$250,4,$500,5,"$1,000",0,"$2,500",0,$40,9,$80,2,$160,1,$400,0,$30,0,$60,0,$120,1,$300,0,$30,1,$60,3,$120,0,$300,0,$290,9,$580,1,"$1,450",0,$40,28,$80,0,$200,0
"Feb. 19, 2020: Midday",08/17/2020,9 - 7 - 0,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,4,$80,8,$160,0,$400,1,$30,0,$60,0,$120,2,$300,0,$30,0,$60,1,$120,2,$300,0,$290,3,$580,1,"$1,450",0,$40,26,$80,6,$200,0
"Feb. 19, 2020: Evening",08/17/2020,6 - 9 - 1,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,5,$80,3,$160,2,$400,2,$30,2,$60,2,$120,0,$300,0,$30,2,$60,2,$120,0,$300,1,$290,10,$580,1,"$1,450",0,$40,28,$80,8,$200,3
"Feb. 18, 2020: Midday",08/16/2020,7 - 4 - 9,$250,0,$500,2,"$1,000",1,"$2,500",0,$40,4,$80,3,$160,2,$400,0,$30,0,$60,1,$120,0,$300,0,$30,2,$60,1,$120,0,$300,0,$290,5,$580,1,"$1,450",0,$40,15,$80,1,$200,4
"Feb. 18, 2020: Evening",08/16/2020,6 - 0 - 1,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,4,$160,1,$400,0,$30,0,$60,3,$120,2,$300,0,$30,0,$60,1,$120,0,$300,1,$290,2,$580,1,"$1,450",0,$40,15,$80,2,$200,0
"Feb. 17, 2020: Evening",08/15/2020,2 - 1 - 9,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,10,$80,4,$160,2,$400,0,$30,2,$60,1,$120,4,$300,1,$30,3,$60,5,$120,2,$300,1,$290,12,$580,2,"$1,450",0,$40,28,$80,5,$200,1
"Feb. 17, 2020: Midday",08/15/2020,9 - 8 - 5,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,0,$160,2,$400,0,$30,0,$60,3,$120,0,$300,0,$30,0,$60,0,$120,0,$300,0,$290,4,$580,0,"$1,450",0,$40,11,$80,1,$200,1
"Feb. 16, 2020: Midday",08/14/2020,0 - 2 - 0,$250,2,$500,6,"$1,000",0,"$2,500",0,$80,4,$160,3,$320,2,$800,0,$30,0,$60,0,$120,1,$300,0,$30,0,$60,0,$120,1,$300,0,$330,2,$660,0,"$1,650",0,$80,3,$160,0,$400,0
"Feb. 16, 2020: Evening",08/14/2020,3 - 9 - 1,$250,4,$500,2,"$1,000",0,"$2,500",0,$40,14,$80,6,$160,2,$400,2,$30,0,$60,3,$120,3,$300,0,$30,0,$60,1,$120,1,$300,1,$290,6,$580,0,"$1,450",1,$40,28,$80,12,$200,2
"Feb. 15, 2020: Evening",08/13/2020,2 - 9 - 7,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,36,$80,4,$160,0,$400,0,$30,0,$60,1,$120,1,$300,0,$30,0,$60,5,$120,1,$300,0,$290,7,$580,2,"$1,450",0,$40,33,$80,5,$200,0
"Feb. 15, 2020: Midday",08/13/2020,9 - 8 - 8,$250,1,$500,2,"$1,000",0,"$2,500",0,$80,3,$160,0,$320,0,$800,0,$30,1,$60,1,$120,1,$300,0,$30,1,$60,3,$120,1,$300,1,$330,2,$660,1,"$1,650",0,$80,11,$160,1,$400,1
"Feb. 14, 2020: Midday",08/12/2020,3 - 9 - 1,$250,3,$500,1,"$1,000",0,"$2,500",0,$40,13,$80,8,$160,1,$400,0,$30,0,$60,4,$120,1,$300,0,$30,1,$60,1,$120,0,$300,0,$290,3,$580,0,"$1,450",0,$40,28,$80,5,$200,1
"Feb. 14, 2020: Evening",08/12/2020,9 - 3 - 7,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,4,$80,8,$160,0,$400,0,$30,2,$60,1,$120,1,$300,0,$30,5,$60,0,$120,2,$300,0,$290,8,$580,0,"$1,450",0,$40,28,$80,5,$200,2
"Feb. 13, 2020: Midday",08/11/2020,6 - 0 - 3,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,5,$80,6,$160,0,$400,0,$30,2,$60,0,$120,0,$300,0,$30,2,$60,0,$120,0,$300,0,$290,2,$580,1,"$1,450",0,$40,14,$80,0,$200,0
"Feb. 13, 2020: Evening",08/11/2020,4 - 1 - 3,$250,1,$500,11,"$1,000",0,"$2,500",0,$40,11,$80,6,$160,2,$400,1,$30,1,$60,1,$120,3,$300,0,$30,4,$60,3,$120,4,$300,0,$290,6,$580,2,"$1,450",0,$40,21,$80,14,$200,3
"Feb. 12, 2020: Evening",08/10/2020,6 - 9 - 0,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,5,$80,4,$160,1,$400,0,$30,0,$60,0,$120,1,$300,0,$30,1,$60,0,$120,1,$300,0,$290,4,$580,0,"$1,450",0,$40,15,$80,3,$200,0
"Feb. 12, 2020: Midday",08/10/2020,7 - 0 - 9,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,10,$80,8,$160,0,$400,1,$30,1,$60,0,$120,1,$300,0,$30,1,$60,1,$120,0,$300,0,$290,14,$580,0,"$1,450",0,$40,16,$80,0,$200,0
"Feb. 11, 2020: Evening",08/09/2020,9 - 0 - 6,$250,0,$500,2,"$1,000",0,"$2,500",0,$40,7,$80,1,$160,0,$400,0,$30,3,$60,0,$120,0,$300,0,$30,0,$60,0,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,6,$80,0,$200,1
"Feb. 11, 2020: Midday",08/09/2020,7 - 5 - 2,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,0,$80,10,$160,2,$400,0,$30,0,$60,0,$120,0,$300,0,$30,0,$60,2,$120,1,$300,0,$290,4,$580,0,"$1,450",0,$40,26,$80,10,$200,2
"Feb. 10, 2020: Evening",08/08/2020,3 - 1 - 9,$250,3,$500,11,"$1,000",0,"$2,500",0,$40,10,$80,6,$160,1,$400,1,$30,0,$60,3,$120,0,$300,0,$30,3,$60,3,$120,3,$300,0,$290,9,$580,0,"$1,450",0,$40,32,$80,4,$200,1
"Feb. 10, 2020: Midday",08/08/2020,7 - 7 - 9,$250,0,$500,4,"$1,000",0,"$2,500",0,$80,4,$160,0,$320,1,$800,0,$30,5,$60,3,$120,4,$300,1,$30,0,$60,2,$120,0,$300,0,$330,6,$660,0,"$1,650",0,$80,5,$160,0,$400,0
"Feb. 9, 2020: Midday",08/07/2020,1 - 5 - 5,$250,0,$500,2,"$1,000",0,"$2,500",0,$80,7,$160,2,$320,0,$800,0,$30,3,$60,1,$120,0,$300,0,$30,0,$60,3,$120,1,$300,0,$330,3,$660,1,"$1,650",0,$80,7,$160,1,$400,0
"Feb. 9, 2020: Evening",08/07/2020,6 - 4 - 7,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,4,$80,4,$160,0,$400,0,$30,0,$60,2,$120,2,$300,0,$30,3,$60,1,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,15,$80,3,$200,0
"Feb. 8, 2020: Evening",08/06/2020,3 - 9 - 7,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,7,$80,6,$160,1,$400,5,$30,0,$60,3,$120,1,$300,0,$30,1,$60,0,$120,1,$300,0,$290,3,$580,0,"$1,450",0,$40,37,$80,6,$200,0
"Feb. 8, 2020: Midday",08/06/2020,4 - 3 - 4,$250,5,$500,8,"$1,000",0,"$2,500",1,$80,5,$160,3,$320,2,$800,1,$30,2,$60,2,$120,0,$300,1,$30,3,$60,4,$120,0,$300,0,$330,4,$660,1,"$1,650",0,$80,3,$160,0,$400,0
"Feb. 7, 2020: Midday",08/05/2020,8 - 1 - 3,$250,3,$500,13,"$1,000",0,"$2,500",0,$40,17,$80,8,$160,1,$400,1,$30,1,$60,5,$120,0,$300,5,$30,2,$60,2,$120,1,$300,0,$290,12,$580,1,"$1,450",0,$40,14,$80,0,$200,0
"Feb. 7, 2020: Evening",08/05/2020,4 - 3 - 9,$250,0,$500,3,"$1,000",1,"$2,500",0,$40,10,$80,8,$160,1,$400,1,$30,2,$60,0,$120,0,$300,2,$30,0,$60,0,$120,0,$300,0,$290,1,$580,1,"$1,450",0,$40,22,$80,4,$200,0
"Feb. 6, 2020: Evening",08/04/2020,9 - 6 - 6,$250,0,$500,1,"$1,000",0,"$2,500",0,$80,1,$160,4,$320,0,$800,0,$30,2,$60,1,$120,0,$300,0,$30,2,$60,2,$120,2,$300,1,$330,2,$660,0,"$1,650",0,$80,4,$160,1,$400,0
"Feb. 6, 2020: Midday",08/04/2020,0 - 8 - 1,$250,3,$500,2,"$1,000",1,"$2,500",0,$40,6,$80,7,$160,1,$400,1,$30,3,$60,0,$120,0,$300,0,$30,3,$60,1,$120,0,$300,0,$290,3,$580,0,"$1,450",0,$40,14,$80,1,$200,0
"Feb. 5, 2020: Midday",08/03/2020,9 - 5 - 5,$250,0,$500,0,"$1,000",0,"$2,500",0,$80,5,$160,4,$320,1,$800,0,$30,0,$60,2,$120,1,$300,4,$30,1,$60,2,$120,5,$300,0,$330,4,$660,1,"$1,650",0,$80,4,$160,1,$400,0
"Feb. 5, 2020: Evening",08/03/2020,0 - 3 - 2,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,8,$80,7,$160,3,$400,0,$30,0,$60,0,$120,0,$300,0,$30,3,$60,0,$120,2,$300,2,$290,2,$580,1,"$1,450",0,$40,27,$80,2,$200,0
"Feb. 4, 2020: Evening",08/02/2020,6 - 2 - 5,$250,1,$500,1,"$1,000",0,"$2,500",0,$40,6,$80,5,$160,0,$400,0,$30,1,$60,0,$120,1,$300,0,$30,1,$60,2,$120,5,$300,0,$290,6,$580,1,"$1,450",0,$40,19,$80,3,$200,0
"Feb. 4, 2020: Midday",08/02/2020,1 - 1 - 5,$250,1,$500,11,"$1,000",0,"$2,500",0,$80,4,$160,2,$320,1,$800,0,$30,2,$60,3,$120,2,$300,2,$30,2,$60,4,$120,1,$300,0,$330,3,$660,0,"$1,650",0,$80,6,$160,1,$400,0
"Feb. 3, 2020: Evening",08/01/2020,2 - 6 - 4,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,18,$80,15,$160,1,$400,4,$30,3,$60,1,$120,2,$300,1,$30,3,$60,1,$120,1,$300,0,$290,9,$580,0,"$1,450",0,$40,31,$80,4,$200,1
"Feb. 3, 2020: Midday",08/01/2020,7 - 2 - 4,$250,0,$500,3,"$1,000",0,"$2,500",0,$40,5,$80,8,$160,4,$400,2,$30,1,$60,1,$120,1,$300,0,$30,2,$60,1,$120,0,$300,1,$290,3,$580,2,"$1,450",0,$40,43,$80,4,$200,1
"Feb. 2, 2020: Midday",07/31/2020,1 - 1 - 9,$250,7,$500,10,"$1,000",0,"$2,500",0,$80,5,$160,8,$320,7,$800,0,$30,3,$60,4,$120,4,$300,0,$30,1,$60,1,$120,2,$300,4,$330,6,$660,0,"$1,650",0,$80,27,$160,0,$400,1
"Feb. 2, 2020: Evening",07/31/2020,7 - 6 - 4,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,9,$80,8,$160,0,$400,0,$30,1,$60,0,$120,1,$300,0,$30,3,$60,0,$120,0,$300,0,$290,1,$580,1,"$1,450",0,$40,17,$80,4,$200,0
"Feb. 1, 2020: Evening",07/30/2020,7 - 0 - 5,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,5,$80,4,$160,1,$400,0,$30,1,$60,0,$120,3,$300,1,$30,4,$60,1,$120,1,$300,0,$290,6,$580,1,"$1,450",0,$40,22,$80,2,$200,0
"Feb. 1, 2020: Midday",07/30/2020,6 - 0 - 0,$250,1,$500,8,"$1,000",0,"$2,500",0,$80,6,$160,3,$320,2,$800,0,$30,0,$60,1,$120,1,$300,0,$30,4,$60,3,$120,1,$300,1,$330,2,$660,0,"$1,650",0,$80,5,$160,1,$400,0
"Jan. 31, 2020: Evening",07/29/2020,8 - 8 - 4,$250,1,$500,0,"$1,000",0,"$2,500",0,$80,3,$160,1,$320,0,$800,0,$30,7,$60,2,$120,1,$300,0,$30,2,$60,3,$120,1,$300,0,$330,2,$660,0,"$1,650",0,$80,5,$160,0,$400,1
"Jan. 31, 2020: Midday",07/29/2020,0 - 1 - 3,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,11,$80,1,$160,2,$400,0,$30,1,$60,0,$120,3,$300,0,$30,1,$60,3,$120,3,$300,1,$290,6,$580,1,"$1,450",0,$40,23,$80,5,$200,0
"Jan. 30, 2020: Evening",07/28/2020,5 - 9 - 5,$250,0,$500,0,"$1,000",0,"$2,500",0,$80,4,$160,1,$320,0,$800,0,$30,1,$60,0,$120,1,$300,0,$30,2,$60,1,$120,1,$300,0,$330,2,$660,1,"$1,650",0,$80,6,$160,1,$400,0
"Jan. 30, 2020: Midday",07/28/2020,0 - 6 - 9,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,2,$80,3,$160,0,$400,0,$30,0,$60,0,$120,1,$300,0,$30,1,$60,1,$120,1,$300,0,$290,0,$580,0,"$1,450",0,$40,17,$80,1,$200,1
"Jan. 29, 2020: Evening",07/27/2020,8 - 6 - 8,$250,1,$500,2,"$1,000",0,"$2,500",0,$80,4,$160,3,$320,0,$800,0,$30,0,$60,0,$120,2,$300,0,$30,1,$60,0,$120,3,$300,0,$330,3,$660,1,"$1,650",0,$80,1,$160,2,$400,0
"Jan. 29, 2020: Midday",07/27/2020,9 - 4 - 7,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,1,$80,8,$160,2,$400,0,$30,1,$60,1,$120,0,$300,1,$30,1,$60,2,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,11,$80,3,$200,1
"Jan. 28, 2020: Midday",07/26/2020,1 - 2 - 0,$250,3,$500,3,"$1,000",0,"$2,500",0,$40,9,$80,9,$160,2,$400,2,$30,6,$60,3,$120,0,$300,0,$30,0,$60,1,$120,0,$300,0,$290,11,$580,3,"$1,450",0,$40,27,$80,2,$200,1
"Jan. 28, 2020: Evening",07/26/2020,0 - 8 - 4,$250,1,$500,0,"$1,000",0,"$2,500",0,$40,3,$80,6,$160,0,$400,0,$30,0,$60,1,$120,0,$300,0,$30,2,$60,0,$120,0,$300,0,$290,1,$580,0,"$1,450",0,$40,25,$80,3,$200,0
"Jan. 27, 2020: Evening",07/25/2020,8 - 3 - 3,$250,0,$500,1,"$1,000",0,"$2,500",0,$80,2,$160,1,$320,2,$800,0,$30,3,$60,1,$120,1,$300,0,$30,2,$60,7,$120,1,$300,1,$330,0,$660,0,"$1,650",0,$80,11,$160,0,$400,0
"Jan. 27, 2020: Midday",07/25/2020,2 - 8 - 5,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,31,$80,5,$160,0,$400,0,$30,1,$60,1,$120,2,$300,0,$30,0,$60,1,$120,0,$300,1,$290,1,$580,0,"$1,450",0,$40,25,$80,6,$200,4
"Jan. 26, 2020: Evening",07/24/2020,8 - 3 - 1,$250,3,$500,11,"$1,000",0,"$2,500",1,$40,15,$80,9,$160,2,$400,7,$30,2,$60,0,$120,0,$300,0,$30,4,$60,1,$120,2,$300,0,$290,6,$580,2,"$1,450",0,$40,21,$80,2,$200,0
"Jan. 26, 2020: Midday",07/24/2020,8 - 8 - 9,$250,1,$500,1,"$1,000",0,"$2,500",0,$80,1,$160,1,$320,2,$800,0,$30,3,$60,6,$120,0,$300,1,$30,1,$60,1,$120,0,$300,0,$330,3,$660,0,"$1,650",0,$80,2,$160,1,$400,0
"Jan. 25, 2020: Midday",07/23/2020,7 - 2 - 0,$250,3,$500,3,"$1,000",0,"$2,500",0,$40,11,$80,8,$160,1,$400,2,$30,1,$60,0,$120,0,$300,3,$30,0,$60,0,$120,0,$300,0,$290,6,$580,1,"$1,450",0,$40,14,$80,0,$200,2
"Jan. 25, 2020: Evening",07/23/2020,6 - 5 - 8,$250,0,$500,3,"$1,000",0,"$2,500",0,$40,3,$80,10,$160,1,$400,0,$30,1,$60,2,$120,1,$300,0,$30,2,$60,0,$120,2,$300,0,$290,4,$580,0,"$1,450",0,$40,17,$80,3,$200,0
"Jan. 24, 2020: Midday",07/22/2020,5 - 1 - 3,$250,4,$500,4,"$1,000",0,"$2,500",0,$40,21,$80,20,$160,3,$400,0,$30,2,$60,1,$120,0,$300,0,$30,1,$60,1,$120,2,$300,0,$290,6,$580,2,"$1,450",0,$40,38,$80,14,$200,0
"Jan. 24, 2020: Evening",07/22/2020,0 - 5 - 7,$250,2,$500,6,"$1,000",0,"$2,500",0,$40,4,$80,4,$160,0,$400,0,$30,0,$60,2,$120,0,$300,0,$30,4,$60,1,$120,2,$300,0,$290,2,$580,1,"$1,450",0,$40,29,$80,1,$200,0
"Jan. 23, 2020: Evening",07/21/2020,4 - 4 - 3,$250,2,$500,0,"$1,000",0,"$2,500",0,$80,14,$160,5,$320,4,$800,0,$30,3,$60,4,$120,4,$300,0,$30,2,$60,0,$120,0,$300,0,$330,6,$660,0,"$1,650",1,$80,10,$160,3,$400,0
"Jan. 23, 2020: Midday",07/21/2020,4 - 8 - 9,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,2,$80,2,$160,0,$400,1,$30,4,$60,1,$120,1,$300,1,$30,0,$60,0,$120,2,$300,0,$290,4,$580,0,"$1,450",0,$40,9,$80,0,$200,0
"Jan. 22, 2020: Midday",07/20/2020,9 - 1 - 3,$250,4,$500,5,"$1,000",0,"$2,500",0,$40,9,$80,5,$160,1,$400,2,$30,2,$60,1,$120,2,$300,0,$30,0,$60,3,$120,0,$300,0,$290,9,$580,0,"$1,450",0,$40,30,$80,7,$200,0
"Jan. 22, 2020: Evening",07/20/2020,8 - 5 - 3,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,18,$80,11,$160,6,$400,3,$30,1,$60,3,$120,0,$300,0,$30,1,$60,2,$120,1,$300,0,$290,5,$580,0,"$1,450",0,$40,49,$80,4,$200,2
"Jan. 21, 2020: Midday",07/19/2020,3 - 5 - 9,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,4,$80,5,$160,0,$400,1,$30,1,$60,1,$120,1,$300,0,$30,0,$60,0,$120,0,$300,0,$290,4,$580,0,"$1,450",0,$40,10,$80,2,$200,0
"Jan. 21, 2020: Evening",07/19/2020,5 - 9 - 6,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,6,$160,0,$400,0,$30,0,$60,1,$120,1,$300,0,$30,0,$60,0,$120,1,$300,0,$290,4,$580,0,"$1,450",1,$40,26,$80,7,$200,1
"Jan. 20, 2020: Midday",07/18/2020,2 - 0 - 8,$250,1,$500,16,"$1,000",0,"$2,500",0,$40,5,$80,2,$160,2,$400,0,$30,2,$60,2,$120,0,$300,0,$30,1,$60,1,$120,1,$300,0,$290,20,$580,1,"$1,450",0,$40,9,$80,4,$200,1
"Jan. 20, 2020: Evening",07/18/2020,2 - 5 - 2,$250,0,$500,5,"$1,000",0,"$2,500",0,$80,1,$160,5,$320,2,$800,0,$30,1,$60,4,$120,3,$300,0,$30,4,$60,2,$120,0,$300,0,$330,7,$660,0,"$1,650",0,$80,31,$160,3,$400,1
"Jan. 19, 2020: Evening",07/17/2020,8 - 6 - 0,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,7,$160,3,$400,0,$30,0,$60,0,$120,2,$300,0,$30,1,$60,0,$120,0,$300,0,$290,3,$580,0,"$1,450",0,$40,19,$80,3,$200,0
"Jan. 19, 2020: Midday",07/17/2020,2 - 9 - 5,$250,0,$500,1,"$1,000",0,"$2,500",0,$40,12,$80,13,$160,4,$400,3,$30,0,$60,1,$120,0,$300,0,$30,1,$60,2,$120,0,$300,2,$290,2,$580,1,"$1,450",0,$40,20,$80,3,$200,3
"Jan. 18, 2020: Midday",07/16/2020,8 - 3 - 4,$250,1,$500,3,"$1,000",0,"$2,500",0,$40,11,$80,11,$160,1,$400,0,$30,1,$60,0,$120,0,$300,0,$30,2,$60,1,$120,2,$300,0,$290,2,$580,0,"$1,450",0,$40,10,$80,3,$200,0
"Jan. 18, 2020: Evening",07/16/2020,5 - 4 - 2,$250,0,$500,11,"$1,000",0,"$2,500",0,$40,11,$80,6,$160,2,$400,1,$30,2,$60,1,$120,1,$300,0,$30,1,$60,0,$120,3,$300,0,$290,4,$580,0,"$1,450",1,$40,28,$80,4,$200,0
"Jan. 17, 2020: Evening",07/15/2020,9 - 0 - 9,$250,0,$500,4,"$1,000",2,"$2,500",0,$80,3,$160,4,$320,0,$800,0,$30,2,$60,1,$120,0,$300,0,$30,2,$60,0,$120,2,$300,0,$330,4,$660,0,"$1,650",0,$80,14,$160,4,$400,0
"Jan. 17, 2020: Midday",07/15/2020,9 - 6 - 1,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,9,$80,8,$160,3,$400,0,$30,0,$60,0,$120,0,$300,0,$30,5,$60,0,$120,1,$300,0,$290,6,$580,0,"$1,450",0,$40,29,$80,3,$200,4
"Jan. 16, 2020: Evening",07/14/2020,2 - 3 - 2,$250,2,$500,7,"$1,000",0,"$2,500",0,$80,2,$160,4,$320,2,$800,0,$30,4,$60,0,$120,4,$300,0,$30,2,$60,0,$120,1,$300,0,$330,6,$660,1,"$1,650",0,$80,13,$160,2,$400,0
"Jan. 16, 2020: Midday",07/14/2020,6 - 3 - 0,$250,1,$500,2,"$1,000",0,"$2,500",0,$40,3,$80,7,$160,1,$400,0,$30,4,$60,0,$120,1,$300,0,$30,1,$60,0,$120,4,$300,0,$290,1,$580,1,"$1,450",0,$40,24,$80,6,$200,1
"Jan. 15, 2020: Evening",07/13/2020,4 - 2 - 2,$250,2,$500,1,"$1,000",0,"$2,500",0,$80,5,$160,9,$320,3,$800,0,$30,2,$60,2,$120,0,$300,0,$30,7,$60,4,$120,2,$300,0,$330,6,$660,1,"$1,650",0,$80,9,$160,1,$400,0
"Jan. 15, 2020: Midday",07/13/2020,3 - 3 - 0,$250,0,$500,7,"$1,000",0,"$2,500",0,$80,9,$160,4,$320,3,$800,0,$30,5,$60,3,$120,4,$300,1,$30,2,$60,0,$120,3,$300,0,$330,6,$660,2,"$1,650",0,$80,17,$160,0,$400,0
"Jan. 14, 2020: Midday",07/12/2020,9 - 6 - 2,$250,0,$500,3,"$1,000",0,"$2,500",0,$40,9,$80,3,$160,0,$400,0,$30,2,$60,0,$120,0,$300,0,$30,0,$60,0,$120,1,$300,0,$290,2,$580,1,"$1,450",0,$40,16,$80,9,$200,0
"Jan. 14, 2020: Evening",07/12/2020,3 - 6 - 5,$250,2,$500,1,"$1,000",0,"$2,500",0,$40,12,$80,9,$160,1,$400,0,$30,3,$60,0,$120,1,$300,0,$30,7,$60,0,$120,0,$300,0,$290,2,$580,0,"$1,450",0,$40,30,$80,7,$200,0
"Jan. 13, 2020: Midday",07/11/2020,1 - 5 - 9,$250,2,$500,0,"$1,000",0,"$2,500",0,$40,6,$80,7,$160,1,$400,0,$30,3,$60,0,$120,2,$300,0,$30,0,$60,0,$120,0,$300,0,$290,4,$580,1,"$1,450",0,$40,27,$80,2,$200,0
"Jan. 13, 2020: Evening",07/11/2020,5 - 3 - 4,$250,0,$500,0,"$1,000",0,"$2,500",0,$40,14,$80,15,$160,1,$400,3,$30,3,$60,1,$120,1,$300,0,$30,2,$60,0,$120,1,$300,0,$290,2,$580,1,"$1,450",0,$40,35,$80,4,$200,3
